cohort,subgroup,n,events,headline_harrell_c,headline_c_ci_low,headline_c_ci_high,headline_uno_c,pam50_harrell_c,pam50_c_ci_low,pam50_c_ci_high,pam50_uno_c,delta_cindex,delta_ci_low,delta_ci_high,delta_p,tau2,i2
GSE96058,TNBC,55,27,0.6054545454545455,0.5036804395272415,0.7124649106995091,0.6036534812167217,0.5759090909090909,0.46765215111618663,0.6861933584238521,0.5765840042743704,0.02954545454545454,-0.1313289141414141,0.19470596834147766,0.7290701651357867,,
METABRIC,TNBC,319,168,0.5149787425739787,0.48807010695642883,0.543918778255299,0.5225586179383482,0.5249598783681054,0.4811336224928468,0.5692471927825581,0.5224191257801919,-0.009981135794126739,-0.06962710675899587,0.05076825474109281,0.7435124284004707,,
Meta_RE,TNBC,374,195,,,,,,,,,-0.0052380141445758826,-0.06170850040905243,0.05123247211990066,0.8557372757737179,0.0,0.0
Meta_FE,TNBC,374,195,,,,,,,,,-0.0052380141445758826,-0.06170850040905243,0.05123247211990066,0.8557372757737179,0.0,0.0
