candidate_id,feature_set,model,n_features,config,overall_cv_cindex,tnbc_cv_cindex,valid_tnbc_folds,composite_cv_cindex,fold_cindexes,fold_tnbc_cindexes
hallmark50_interactions__Random_Survival_Forest__28082283,hallmark50_interactions,Random_Survival_Forest,57,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 300, ""tnbc_weight"": 2}",0.5707476081467175,0.3884803921568627,4,0.4796140001517901,"[0.6286127167630058, 0.5883233532934131, 0.593974175035868, 0.5289389067524116, 0.5138888888888888]","[0.25, NaN, 0.3333333333333333, 0.47058823529411764, 0.5]"
hallmark50__Gradient_Boosted_Survival__34011741,hallmark50,Gradient_Boosted_Survival,52,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 300, ""subsample"": 0.8, ""tnbc_weight"": 4}",0.5810825915643019,0.37749183006535947,4,0.47928721081483067,"[0.6394508670520231, 0.6332335329341318, 0.5423242467718795, 0.48392282958199356, 0.6064814814814815]","[0.25, NaN, 0.05555555555555555, 0.5294117647058824, 0.675]"
hallmark50__Gradient_Boosted_Survival__25461787,hallmark50,Gradient_Boosted_Survival,52,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 1}",0.5913240958796736,0.3667075163398693,4,0.47901580610977146,"[0.638728323699422, 0.6631736526946108, 0.569583931133429, 0.5064308681672026, 0.5787037037037037]","[0.16666666666666666, NaN, 0.2222222222222222, 0.35294117647058826, 0.725]"
hallmark50_interactions__Elastic_Net_Cox__65419333,hallmark50_interactions,Elastic_Net_Cox,57,"{""alpha"": 0.1, ""l1_ratio"": 0.5, ""tnbc_weight"": 1}",0.6151327579450199,0.34158496732026145,4,0.47835886263264066,"[0.6069364161849711, 0.5988023952095808, 0.697274031563845, 0.5337620578778135, 0.6388888888888888]","[0.25, NaN, 0.2222222222222222, 0.29411764705882354, 0.6]"
hallmark50__Gradient_Boosted_Survival__14255483,hallmark50,Gradient_Boosted_Survival,52,"{""learning_rate"": 0.1, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 2}",0.580546198525737,0.3758578431372549,4,0.47820202083149593,"[0.6401734104046243, 0.5755988023952096, 0.5624103299856528, 0.4887459807073955, 0.6358024691358025]","[0.25, NaN, 0.16666666666666666, 0.4117647058823529, 0.675]"
hallmark50_interactions__Gradient_Boosted_Survival__25461787,hallmark50_interactions,Gradient_Boosted_Survival,57,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 1}",0.5823457194316201,0.3729575163398693,4,0.4776516178857447,"[0.6213872832369942, 0.6347305389221557, 0.5781922525107605, 0.5064308681672026, 0.5709876543209876]","[0.16666666666666666, NaN, 0.2222222222222222, 0.35294117647058826, 0.75]"
hallmark50_interactions__Elastic_Net_Cox__6417078,hallmark50_interactions,Elastic_Net_Cox,57,"{""alpha"": 0.1, ""l1_ratio"": 0.5, ""tnbc_weight"": 4}",0.5913854081687832,0.3559640522875817,4,0.4736747302281824,"[0.6170520231213873, 0.5598802395209581, 0.6714490674318508, 0.5514469453376206, 0.5570987654320988]","[0.16666666666666666, NaN, 0.2777777777777778, 0.5294117647058824, 0.45]"
seven__Elastic_Net_Cox__6417078,seven,Elastic_Net_Cox,9,"{""alpha"": 0.1, ""l1_ratio"": 0.5, ""tnbc_weight"": 4}",0.5413450257680748,0.405718954248366,4,0.4735319900082204,"[0.6069364161849711, 0.4940119760479042, 0.5681492109038737, 0.5916398713826366, 0.44598765432098764]","[0.4166666666666667, NaN, 0.4444444444444444, 0.4117647058823529, 0.35]"
hallmark50__Gradient_Boosted_Survival__35443320,hallmark50,Gradient_Boosted_Survival,52,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 300, ""subsample"": 0.8, ""tnbc_weight"": 2}",0.5948674694194704,0.3486519607843137,4,0.4717597151018921,"[0.6661849710982659, 0.6287425149700598, 0.569583931133429, 0.5064308681672026, 0.6033950617283951]","[0.25, NaN, 0.16666666666666666, 0.35294117647058826, 0.625]"
hallmark50_interactions__Gradient_Boosted_Survival__34011741,hallmark50_interactions,Gradient_Boosted_Survival,57,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 300, ""subsample"": 0.8, ""tnbc_weight"": 4}",0.5700064426521565,0.3689133986928105,4,0.4694599206724835,"[0.6423410404624278, 0.6294910179640718, 0.5423242467718795, 0.47106109324758844, 0.5648148148148148]","[0.3333333333333333, NaN, 0.05555555555555555, 0.4117647058823529, 0.675]"
