Dataset,Model,AUC,Accuracy,Std
TCGA,Elastic Net,0.7928571428571429,0.7674418604651163,
TCGA,Random Forest,0.6738095238095237,0.7209302325581395,
TCGA,Gradient Boosting,0.5523809523809524,0.7209302325581395,
GSE96058,Logistic Regression,0.8502602499914362,,0.02064076176405636
GSE96058,Random Forest,0.8513535343337078,,0.01783506199940326
GSE96058,Gradient Boosting,0.8284929419096538,,0.023090962143574423
