train_cohort,n_train,events_train,validation_pooled_c,val_c_TCGA-BRCA,val_c_GSE96058,val_c_METABRIC,val_c_GSE20685,analysis_type
TCGA-BRCA,213,132,0.5778533280235143,,0.6626242449038531,0.5548922228481632,0.5651823398302271,exploratory_secondary
GSE96058,1483,322,0.5576089375611761,0.5495378051671012,,0.5622060960061671,0.5071370986863944,exploratory_secondary
METABRIC,1979,1143,0.6593804038738164,0.5547226831002607,0.7202630502274313,,0.589628681177977,exploratory_secondary
GSE20685,327,83,0.5798517137167858,0.5440270206210003,0.6028110033452865,0.5775209772585762,,exploratory_secondary
