feature,base_cindex,importance_mean_delta_cindex,importance_sd
Pathway_DNA_Repair,0.7465039108793553,0.05100497748281584,0.01566031292467784
Pathway_Hormone,0.7465039108793553,0.04922019435885281,0.011244133307309638
age_at_dx,0.7465039108793553,0.04736667456743305,0.012674516770298244
stage_ordinal,0.7465039108793553,0.028598009006873672,0.0065326265458561066
Pathway_Stromal_EMT,0.7465039108793553,0.025206210002370236,0.007217940908537425
Pathway_Immune,0.7465039108793553,0.019900450343683346,0.004356765406573585
Pathway_Proliferation,0.7465039108793553,0.015341313107371418,0.005004292368410627
Pathway_Apoptosis_Stress,0.7465039108793553,0.012043138184403897,0.0020925278359856295
Pathway_Metabolism,0.7465039108793553,0.010263095520265471,0.0019561175016260045
