cohort,endpoint,subgroup,n,events,gbsa_harrell_c,gbsa_ci_low,gbsa_ci_high,pam50_ror_harrell_c,pam50_ror_ci_low,pam50_ror_ci_high,delta_cindex,delta_ci_low,delta_ci_high,delta_p,comparison,analysis_type
METABRIC,OS,overall,1979,1143,0.5548922228481632,0.5397729091844891,0.5700055117091479,0.5948972633201886,0.5783117262083272,0.6115810362605284,-0.040005040472025355,-0.06345924175990914,-0.01806266555111984,0.0007921341241448518,Gradient_Boosted_Survival minus PAM50_ROR_official,exploratory_secondary
METABRIC,OS,tnbc,319,168,0.5149787425739787,0.48807010695642883,0.543918778255299,0.5249598783681054,0.4811336224928468,0.5692471927825581,-0.009981135794126739,-0.06962710675899587,0.05076825474109281,0.7435124284004707,Gradient_Boosted_Survival minus PAM50_ROR_official,exploratory_secondary
METABRIC,DFS,overall,1976,800,0.5131192020442047,0.49682961980226353,0.5295191885171904,0.6093180078867724,0.5895436925180891,0.6300751147911579,-0.09619880584256768,-0.12220014340025634,-0.06876654057193794,8.178421171875395e-13,Gradient_Boosted_Survival minus PAM50_ROR_official,exploratory_secondary
METABRIC,DFS,tnbc,319,131,0.4803943643849717,0.44883829134398595,0.5120601186665055,0.5214873906330417,0.4720941167354648,0.5715597621400218,-0.04109302624807004,-0.1099328798221349,0.026697344374868877,0.2346352622200486,Gradient_Boosted_Survival minus PAM50_ROR_official,exploratory_secondary
