scoring_method,cohort,n,events,harrell_c,harrell_c_ci_low,harrell_c_ci_high,uno_c,delta_vs_pam50,delta_ci_low,delta_ci_high,delta_p
rank_percentile,GSE96058,1483,322,0.6626242449038531,0.6334383560818488,0.6913570326300877,0.6571606523087876,0.029807946860484713,-0.01095263402040907,0.06712130497925319,0.14566211057501235
rank_percentile,METABRIC,1979,1143,0.5548922228481632,0.5397729091844891,0.5700055117091479,0.553427649106639,-0.040005040472025355,-0.06345924175990914,-0.01806266555111984,0.0007921341241448518
rank_percentile,GSE20685,327,83,0.5651823398302271,0.5151210725259685,0.6172621564570787,0.5463278243479628,-0.06999573196756292,-0.15375488366478451,0.020409002628469126,0.10545978333467312
mean_z,GSE96058,1483,322,0.6481300089047195,0.6175900201108387,0.6771191590120466,0.6413317775948941,0.015313710861351137,-0.027905011793027127,0.053934258522179576,0.4712591681536834
mean_z,METABRIC,1979,1143,0.5311293622320397,0.5124799684385756,0.5499185983996815,0.5305406979344369,-0.06376790108814889,-0.09160629971447058,-0.037328424433735845,5.078098647357327e-06
mean_z,GSE20685,327,83,0.5226442832076635,0.46040047996499195,0.5892213654800722,0.5103298610559114,-0.11253378859012653,-0.2062628453259268,-0.007615876681678618,0.027587237865823427
ssgsea,GSE96058,1483,322,0.6719140333565979,0.6455893763587274,0.700560641303719,0.6661726345724421,0.039097735313229576,-0.0012484313505957845,0.07812668387874568,0.05634233291805556
ssgsea,METABRIC,1979,1143,0.5590624722032793,0.5446662433840078,0.5749480881538799,0.5579937405272989,-0.03583479111690924,-0.05819197368388012,-0.013621003525374258,0.002428821318454257
ssgsea,GSE20685,327,83,0.5483710342865272,0.4939624456026821,0.6036603477163843,0.5309162037706209,-0.08680703751126284,-0.16654147561915555,0.0002445726395758923,0.03931606111889534
