feature_set,n_features,mean_harrell_c,mean_uno_c,mean_brier_5y,mean_ici,mean_delta_vs_pam50,n_cohorts
Pathways_only,7,0.515577692036875,0.5099302705907367,0.28771737665548974,0.2556910621064707,-0.10538618568357398,3
Clinical_only,2,0.5739890127859236,0.5719119401062126,0.22986556461887328,0.17523489785782242,-0.04697486493452541,3
Pathways+Clinical,9,0.5942329358607478,0.5856387085877964,0.2643057767686993,0.2527166726549786,-0.02673094185970119,3
Proliferation_only,1,0.46983306859195717,0.47313297978225294,0.2877434202351256,0.3677654450007289,-0.15113080912849183,3
Hormone_only,1,0.5438190025951596,0.536916985904948,0.28761574932854095,0.19027440751568406,-0.07714487512528945,3
Immune_only,1,0.4934759841935312,0.48837390023268407,0.2778260527813799,0.2688806960201791,-0.12748789352691772,3
Top3_pathways,3,0.508005944883623,0.5061548656406889,0.2937619391236932,0.2527323392643197,-0.112957932836826,3
Leave_one_out_Hormone,8,0.548128567990234,0.5439945065551414,0.2569586165486632,0.333925443641788,-0.07283530973021497,3
