model,mean_cv_cindex,sd_cv_cindex,fold_cindexes,config,artifact_path,auc_5y,auc_10y,brier_5y,delta_vs_cox
Gradient_Boosted_Survival,0.6418257777973452,0.03442127945366855,"[0.6748554913294798, 0.6324850299401198, 0.6642754662840746, 0.6503215434083601, 0.5871913580246914]","{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 1, ""subsample"": 1.0}",models/gradient_boosted_survival.pkl,0.6561831615788449,0.6227495743794869,0.2357932475764841,0.041963998078774156
Stacked_Ensemble,0.626273998577862,,[],"{""top_models"": [""Gradient_Boosted_Survival"", ""DeepSurv"", ""Elastic_Net_Cox""]}",models/stacked_ensemble.pkl,0.6735368461987167,0.6433124153025014,0.22790227725522869,0.026412218859291015
DeepSurv,0.6090424320755383,0.038955953893423885,"[0.638728323699422, 0.5688622754491018, 0.6441893830703013, 0.6286173633440515, 0.5648148148148148]","{""hidden_dims"": [128, 64], ""dropout"": 0.2, ""lr"": 0.0005, ""weight_decay"": 0.0001, ""epochs"": 150, ""patience"": 20}",models/deepsurv.pt,0.6404822088275326,0.6024436110900236,0.24608182864873002,0.0091806523569673
Elastic_Net_Cox,0.6013337175750866,0.03435099360873817,"[0.6069364161849711, 0.5553892215568862, 0.5868005738880918, 0.6495176848874598, 0.6080246913580247]","{""alpha"": 0.001, ""l1_ratio"": 0.1}",models/elastic_net_cox.pkl,0.6526346490375268,0.5557976464219684,0.2437949083686528,0.0014719378565155594
Random_Survival_Forest,0.6007048897723755,0.04352374159330688,"[0.6517341040462428, 0.5793413173652695, 0.6327116212338594, 0.5980707395498392, 0.5416666666666666]","{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",models/random_survival_forest.pkl,0.647968111996889,0.6119305412541163,0.23899480936097528,0.0008431100538044412
Cox_PH,0.599861779718571,0.03587313851246436,"[0.6083815028901735, 0.5553892215568862, 0.5824964131994261, 0.6527331189710611, 0.6003086419753086]","{""penalizer"": 0.01}",models/cox_ph.pkl,0.6522457709508069,0.5559662983889344,0.24289037228887939,0.0
