fraction,n_train,internal_cv_c_mean,internal_cv_c_lo,internal_cv_c_hi,external_pooled_c_mean,external_pooled_c_lo,external_pooled_c_hi,n_repeats,analysis_type
0.2,43,0.5237471165866492,0.4000977032446227,0.6651528091107897,0.5446066254518664,0.47201124890694623,0.6097886057545389,25,exploratory_secondary
0.4,85,0.5652718178785132,0.4802828811173212,0.6818263535795824,0.5573167002710424,0.4900138745284591,0.5954947751198982,25,exploratory_secondary
0.6,128,0.5773899373694864,0.517109020422188,0.6260065576698443,0.565366131037363,0.5271695608550031,0.5933339926922463,25,exploratory_secondary
0.8,170,0.590911536984397,0.5490826623914148,0.6277581954291857,0.5743333315756491,0.5456314455658577,0.5936971594811827,25,exploratory_secondary
1.0,213,0.6083775776250296,0.5727601327328751,0.6306767006399622,0.5778533280235143,0.5778533280235143,0.5778533280235143,25,exploratory_secondary
