cohort,threshold,strategy,net_benefit,n,events,analysis_type
TCGA-BRCA,0.375,Treat none,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.375,Pathway ML,0.08732394366197183,213,74,exploratory_secondary
TCGA-BRCA,0.375,Cox baseline,0.061971830985915494,213,74,exploratory_secondary
TCGA-BRCA,0.375,PAM50-ROR,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.4,Treat all,-0.08763693270735523,213,74,exploratory_secondary
TCGA-BRCA,0.4,Treat none,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.4,Pathway ML,0.07981220657276994,213,74,exploratory_secondary
TCGA-BRCA,0.4,Cox baseline,0.05790297339593113,213,74,exploratory_secondary
TCGA-BRCA,0.4,PAM50-ROR,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.425,Treat all,-0.13492549499897938,213,74,exploratory_secondary
TCGA-BRCA,0.425,Treat none,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.425,Pathway ML,0.07491324760155134,213,74,exploratory_secondary
TCGA-BRCA,0.425,Cox baseline,0.05368442539293733,213,74,exploratory_secondary
TCGA-BRCA,0.425,PAM50-ROR,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.45,Treat all,-0.1865130174989329,213,74,exploratory_secondary
TCGA-BRCA,0.45,Treat none,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.45,Pathway ML,0.06999573196756297,213,74,exploratory_secondary
TCGA-BRCA,0.45,Cox baseline,0.029876227059325654,213,74,exploratory_secondary
TCGA-BRCA,0.45,PAM50-ROR,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.475,Treat all,-0.2430136373798345,213,74,exploratory_secondary
TCGA-BRCA,0.475,Treat none,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.475,Pathway ML,0.0634920634920635,213,74,exploratory_secondary
TCGA-BRCA,0.475,Cox baseline,0.01900290632685,213,74,exploratory_secondary
TCGA-BRCA,0.475,PAM50-ROR,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.5,Treat all,-0.30516431924882625,213,74,exploratory_secondary
TCGA-BRCA,0.5,Treat none,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.5,Pathway ML,0.03286384976525822,213,74,exploratory_secondary
TCGA-BRCA,0.5,Cox baseline,0.0,213,74,exploratory_secondary
TCGA-BRCA,0.5,PAM50-ROR,0.0,213,74,exploratory_secondary
GSE96058,0.05,Treat all,0.16746411483253587,1430,299,exploratory_secondary
GSE96058,0.05,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.05,Pathway ML,0.16746411483253587,1430,299,exploratory_secondary
GSE96058,0.05,Cox baseline,0.16746411483253587,1430,299,exploratory_secondary
GSE96058,0.05,PAM50-ROR,0.16746411483253587,1430,299,exploratory_secondary
GSE96058,0.075,Treat all,0.14496314496314494,1430,299,exploratory_secondary
GSE96058,0.075,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.075,Pathway ML,0.14496314496314494,1430,299,exploratory_secondary
GSE96058,0.075,Cox baseline,0.14496314496314494,1430,299,exploratory_secondary
GSE96058,0.075,PAM50-ROR,0.14496314496314494,1430,299,exploratory_secondary
GSE96058,0.1,Treat all,0.12121212121212119,1430,299,exploratory_secondary
GSE96058,0.1,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.1,Pathway ML,0.12121212121212119,1430,299,exploratory_secondary
GSE96058,0.1,Cox baseline,0.12121212121212119,1430,299,exploratory_secondary
GSE96058,0.1,PAM50-ROR,0.12121212121212119,1430,299,exploratory_secondary
GSE96058,0.125,Treat all,0.0961038961038961,1430,299,exploratory_secondary
GSE96058,0.125,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.125,Pathway ML,0.0961038961038961,1430,299,exploratory_secondary
GSE96058,0.125,Cox baseline,0.0961038961038961,1430,299,exploratory_secondary
GSE96058,0.125,PAM50-ROR,0.0961038961038961,1430,299,exploratory_secondary
GSE96058,0.15,Treat all,0.06951871657754011,1430,299,exploratory_secondary
GSE96058,0.15,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.15,Pathway ML,0.07667626491155902,1430,299,exploratory_secondary
GSE96058,0.15,Cox baseline,0.06951871657754008,1430,299,exploratory_secondary
GSE96058,0.15,PAM50-ROR,0.06951871657754008,1430,299,exploratory_secondary
GSE96058,0.175,Treat all,0.04132231404958678,1430,299,exploratory_secondary
GSE96058,0.175,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.175,Pathway ML,0.05121847849120578,1430,299,exploratory_secondary
GSE96058,0.175,Cox baseline,0.04132231404958675,1430,299,exploratory_secondary
