cohort,threshold,strategy,net_benefit,n,events,analysis_type
GSE20685,0.375,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.375,Pathway ML,-0.040625,320,49,exploratory_secondary
GSE20685,0.375,Cox baseline,-0.05374999999999999,320,49,exploratory_secondary
GSE20685,0.375,PAM50-ROR,0.0,320,49,exploratory_secondary
GSE20685,0.4,Treat all,-0.4114583333333334,320,49,exploratory_secondary
GSE20685,0.4,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.4,Pathway ML,-0.04479166666666668,320,49,exploratory_secondary
GSE20685,0.4,Cox baseline,-0.03854166666666668,320,49,exploratory_secondary
GSE20685,0.4,PAM50-ROR,0.0,320,49,exploratory_secondary
GSE20685,0.425,Treat all,-0.4728260869565218,320,49,exploratory_secondary
GSE20685,0.425,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.425,Pathway ML,-0.052038043478260874,320,49,exploratory_secondary
GSE20685,0.425,Cox baseline,-0.042798913043478264,320,49,exploratory_secondary
GSE20685,0.425,PAM50-ROR,0.0,320,49,exploratory_secondary
GSE20685,0.45,Treat all,-0.5397727272727273,320,49,exploratory_secondary
GSE20685,0.45,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.45,Pathway ML,-0.04517045454545454,320,49,exploratory_secondary
GSE20685,0.45,Cox baseline,-0.038068181818181814,320,49,exploratory_secondary
GSE20685,0.45,PAM50-ROR,0.0,320,49,exploratory_secondary
GSE20685,0.475,Treat all,-0.6130952380952381,320,49,exploratory_secondary
GSE20685,0.475,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.475,Pathway ML,-0.051934523809523805,320,49,exploratory_secondary
GSE20685,0.475,Cox baseline,-0.021428571428571425,320,49,exploratory_secondary
GSE20685,0.475,PAM50-ROR,0.0,320,49,exploratory_secondary
GSE20685,0.5,Treat all,-0.6937500000000001,320,49,exploratory_secondary
GSE20685,0.5,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.5,Pathway ML,0.0,320,49,exploratory_secondary
GSE20685,0.5,Cox baseline,-0.025,320,49,exploratory_secondary
GSE20685,0.5,PAM50-ROR,0.0,320,49,exploratory_secondary
