Feature Set,Model,AUC,AUC_SD,Accuracy
Pathway Only (8 features),Elastic Net,0.6407814531090273,0.034598884675834295,0.6487214487214488
Pathway Only (8 features),Random Forest,0.6451714176337775,0.030283820133971188,0.7673810173810173
Pathway Only (8 features),Gradient Boosting,0.6328787597424723,0.014508836313358172,0.7795090545090544
Clinical Only (9 features),Elastic Net,0.8467633266565583,0.03265500866822541,0.7950268450268452
Clinical Only (9 features),Random Forest,0.8490898011210491,0.028459516571438977,0.8503207753207753
Clinical Only (9 features),Gradient Boosting,0.8505297248699953,0.02737202770749869,0.8705364455364455
Pathway + Clinical (17 features),Elastic Net,0.8546382552162681,0.03126037044632593,0.7990831740831741
Pathway + Clinical (17 features),Random Forest,0.8562695878608899,0.032271363715684495,0.8651537901537901
Pathway + Clinical (17 features),Gradient Boosting,0.8268602871313725,0.02535010133248869,0.857052507052507
