subtype,n_cohorts,meta_delta,meta_ci_low,meta_ci_high,meta_p,i2,consistent_direction,verdict
Basal,3,0.03492165373908014,-0.012309033511471813,0.08215234098963209,0.1472833372965521,0.0,True,comparable_no_consistent_advantage
Her2,3,-0.01179802023480817,-0.14220979897521244,0.1186137585055961,0.8592600349751555,0.797780619668587,False,comparable_no_consistent_advantage
LumA,3,0.012080348498233228,-0.05453192619304258,0.07869262318950904,0.7222508096475412,0.49229483172746397,False,comparable_no_consistent_advantage
LumB,3,0.04227648963977007,-0.07422389103590002,0.15877687031544016,0.4769238840696134,0.8773799015378889,False,comparable_no_consistent_advantage
Normal,2,-0.07600641930957236,-0.20232761966511378,0.050314781045969065,0.23827246673151092,0.13555040199375132,False,comparable_no_consistent_advantage
