cohort,pathway,n_genes_defined,n_genes_present,coverage,scored,qc_type,feature,components_requested,components_present,n_components_present
TCGA-BRCA,,,,,,aggregation,Pathway_DNA_Repair,HALLMARK_DNA_REPAIR;REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR;REACTOME_NUCLEOTIDE_EXCISION_REPAIR;REACTOME_MISMATCH_REPAIR;KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION;KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR,HALLMARK_DNA_REPAIR;REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR;REACTOME_NUCLEOTIDE_EXCISION_REPAIR;REACTOME_MISMATCH_REPAIR;KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION;KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR,6.0
TCGA-BRCA,,,,,,aggregation,Pathway_Metabolism,HALLMARK_OXIDATIVE_PHOSPHORYLATION;HALLMARK_GLYCOLYSIS;HALLMARK_FATTY_ACID_METABOLISM;KEGG_MEDICUS_REFERENCE_GLYCOLYSIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION;HALLMARK_GLYCOLYSIS;HALLMARK_FATTY_ACID_METABOLISM;KEGG_MEDICUS_REFERENCE_GLYCOLYSIS,4.0
TCGA-BRCA,,,,,,aggregation,Pathway_Stromal_EMT,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_ANGIOGENESIS;HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_ANGIOGENESIS;HALLMARK_HEDGEHOG_SIGNALING,3.0
TCGA-BRCA,,,,,,aggregation,Pathway_Apoptosis_Stress,HALLMARK_APOPTOSIS;HALLMARK_P53_PATHWAY;HALLMARK_HYPOXIA,HALLMARK_APOPTOSIS;HALLMARK_P53_PATHWAY;HALLMARK_HYPOXIA,3.0
TCGA-BRCA,,,,,,aggregation,Pathway_Hormone,HALLMARK_ESTROGEN_RESPONSE_EARLY;HALLMARK_ESTROGEN_RESPONSE_LATE;HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ESTROGEN_RESPONSE_EARLY;HALLMARK_ESTROGEN_RESPONSE_LATE;HALLMARK_ANDROGEN_RESPONSE,3.0
GSE96058,HALLMARK_ADIPOGENESIS,200.0,192.0,0.96,True,gene_coverage,,,,
GSE96058,HALLMARK_ALLOGRAFT_REJECTION,200.0,195.0,0.975,True,gene_coverage,,,,
GSE96058,HALLMARK_ANDROGEN_RESPONSE,101.0,97.0,0.9603960396039604,True,gene_coverage,,,,
GSE96058,HALLMARK_ANGIOGENESIS,36.0,36.0,1.0,True,gene_coverage,,,,
GSE96058,HALLMARK_APICAL_JUNCTION,200.0,192.0,0.96,True,gene_coverage,,,,
GSE96058,HALLMARK_APICAL_SURFACE,44.0,43.0,0.9772727272727273,True,gene_coverage,,,,
GSE96058,HALLMARK_APOPTOSIS,161.0,159.0,0.9875776397515528,True,gene_coverage,,,,
GSE96058,HALLMARK_BILE_ACID_METABOLISM,112.0,112.0,1.0,True,gene_coverage,,,,
GSE96058,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74.0,73.0,0.9864864864864865,True,gene_coverage,,,,
GSE96058,HALLMARK_COAGULATION,138.0,138.0,1.0,True,gene_coverage,,,,
GSE96058,HALLMARK_COMPLEMENT,200.0,199.0,0.995,True,gene_coverage,,,,
GSE96058,HALLMARK_DNA_REPAIR,150.0,147.0,0.98,True,gene_coverage,,,,
GSE96058,HALLMARK_E2F_TARGETS,200.0,195.0,0.975,True,gene_coverage,,,,
GSE96058,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200.0,196.0,0.98,True,gene_coverage,,,,
GSE96058,HALLMARK_ESTROGEN_RESPONSE_EARLY,200.0,193.0,0.965,True,gene_coverage,,,,
GSE96058,HALLMARK_ESTROGEN_RESPONSE_LATE,200.0,194.0,0.97,True,gene_coverage,,,,
GSE96058,HALLMARK_FATTY_ACID_METABOLISM,158.0,155.0,0.9810126582278481,True,gene_coverage,,,,
GSE96058,HALLMARK_G2M_CHECKPOINT,200.0,190.0,0.95,True,gene_coverage,,,,
GSE96058,HALLMARK_GLYCOLYSIS,200.0,197.0,0.985,True,gene_coverage,,,,
GSE96058,HALLMARK_HEDGEHOG_SIGNALING,36.0,35.0,0.9722222222222222,True,gene_coverage,,,,
GSE96058,HALLMARK_HEME_METABOLISM,200.0,193.0,0.965,True,gene_coverage,,,,
GSE96058,HALLMARK_HYPOXIA,200.0,192.0,0.96,True,gene_coverage,,,,
GSE96058,HALLMARK_IL2_STAT5_SIGNALING,199.0,194.0,0.9748743718592965,True,gene_coverage,,,,
GSE96058,HALLMARK_IL6_JAK_STAT3_SIGNALING,87.0,87.0,1.0,True,gene_coverage,,,,
GSE96058,HALLMARK_INFLAMMATORY_RESPONSE,200.0,197.0,0.985,True,gene_coverage,,,,
GSE96058,HALLMARK_INTERFERON_ALPHA_RESPONSE,97.0,95.0,0.979381443298969,True,gene_coverage,,,,
GSE96058,HALLMARK_INTERFERON_GAMMA_RESPONSE,200.0,196.0,0.98,True,gene_coverage,,,,
GSE96058,HALLMARK_KRAS_SIGNALING_DN,200.0,194.0,0.97,True,gene_coverage,,,,
GSE96058,HALLMARK_KRAS_SIGNALING_UP,200.0,194.0,0.97,True,gene_coverage,,,,
GSE96058,HALLMARK_MITOTIC_SPINDLE,199.0,198.0,0.9949748743718593,True,gene_coverage,,,,
GSE96058,HALLMARK_MTORC1_SIGNALING,200.0,194.0,0.97,True,gene_coverage,,,,
GSE96058,HALLMARK_MYC_TARGETS_V1,200.0,193.0,0.965,True,gene_coverage,,,,
GSE96058,HALLMARK_MYC_TARGETS_V2,58.0,57.0,0.9827586206896551,True,gene_coverage,,,,
GSE96058,HALLMARK_MYOGENESIS,200.0,197.0,0.985,True,gene_coverage,,,,
GSE96058,HALLMARK_NOTCH_SIGNALING,32.0,32.0,1.0,True,gene_coverage,,,,
GSE96058,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200.0,184.0,0.92,True,gene_coverage,,,,
GSE96058,HALLMARK_P53_PATHWAY,200.0,192.0,0.96,True,gene_coverage,,,,
GSE96058,HALLMARK_PANCREAS_BETA_CELLS,40.0,40.0,1.0,True,gene_coverage,,,,
GSE96058,HALLMARK_PEROXISOME,104.0,104.0,1.0,True,gene_coverage,,,,
GSE96058,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105.0,104.0,0.9904761904761905,True,gene_coverage,,,,
GSE96058,HALLMARK_PROTEIN_SECRETION,96.0,95.0,0.9895833333333334,True,gene_coverage,,,,
GSE96058,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49.0,47.0,0.9591836734693877,True,gene_coverage,,,,
GSE96058,HALLMARK_SPERMATOGENESIS,135.0,132.0,0.9777777777777777,True,gene_coverage,,,,
GSE96058,HALLMARK_TGF_BETA_SIGNALING,54.0,54.0,1.0,True,gene_coverage,,,,
GSE96058,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200.0,197.0,0.985,True,gene_coverage,,,,
GSE96058,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113.0,106.0,0.9380530973451328,True,gene_coverage,,,,
GSE96058,HALLMARK_UV_RESPONSE_DN,144.0,138.0,0.9583333333333334,True,gene_coverage,,,,
GSE96058,HALLMARK_UV_RESPONSE_UP,158.0,154.0,0.9746835443037974,True,gene_coverage,,,,
GSE96058,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42.0,42.0,1.0,True,gene_coverage,,,,
GSE96058,HALLMARK_XENOBIOTIC_METABOLISM,200.0,196.0,0.98,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY,7.0,7.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY,11.0,11.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01339,11.0,11.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01350,12.0,12.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_EBV_EBNA1_TO_P53_MEDIATED_TRANSCRIPTION,10.0,10.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_CELL_CYCLE_G1_S_N00483,9.0,9.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_CELL_CYCLE_G1_S_N00484,5.0,5.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P27_CELL_CYCLE_G1_S_N00264,11.0,11.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P27_CELL_CYCLE_G1_S_N00482,9.0,9.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P53_MEDIATED_TRANSCRIPTION,10.0,10.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_EBV_LMP1_TO_PI3K_SIGNALING_PATHWAY,5.0,5.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_EBV_LMP2A_TO_PI3K_SIGNALING_PATHWAY,5.0,5.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_TIR_TO_TLR2_4_MAPK_SIGNALING_PATHWAY,5.0,5.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY,31.0,30.0,0.967741935483871,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAI_PI3K_BAD_SIGNALING_PATHWAY,12.0,12.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_HIV_VPR_TO_CDC25_CELL_CYCLE_G2M,11.0,10.0,0.9090909090909091,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_HIV_VPR_TO_WEE1_CELL_CYCLE_G2M,5.0,5.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_HPV_E7_TO_CELL_CYCLE_G1_S,6.0,6.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_HPV_E7_TO_P27_CELL_CYCLE_G1_S,7.0,7.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_P21_CELL_CYCLE_G1_S_N00497,9.0,9.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_P21_CELL_CYCLE_G1_S_N00498,8.0,8.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_KSHV_VCYCLIN_TO_CELL_CYCLE_G1_S,6.0,6.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY,24.0,24.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY,29.0,28.0,0.9655172413793104,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_SHIGELLA_OSPF_TO_TLR2_4_MAPK_SIGNALING_PATHWAY,6.0,6.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_PATHOGEN_YERSINIA_YOPP_J_TO_TLR2_4_MAPK_SIGNALING_PATHWAY,6.0,6.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,39.0,38.0,0.9743589743589743,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ACH_CHRN_PI3K_SIGNALING_PATHWAY,7.0,7.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY,21.0,21.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ACTH_CORTISOL_SIGNALING_PATHWAY,32.0,32.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119,22.0,20.0,0.9090909090909091,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES,27.0,25.0,0.9259259259259259,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ACTIVIN_SIGNALING_PATHWAY,8.0,8.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ADRB3_UCP1_SIGNALING_PATHWAY,35.0,35.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_AGE_RAGE_SIGNALING_PATHWAY,16.0,16.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_AHR_SIGNALING_PATHWAY,8.0,8.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ALTERNATIVE_PATHWAY_OF_COMPLEMENT_CASCADE_C3B_BREAKDOWN,5.0,5.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_AMH_SIGNALING_PATHWAY,9.0,9.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ANGII_AT1R_NOX2_SIGNALING_PATHWAY,8.0,8.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY,28.0,28.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT,24.0,24.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES,15.0,15.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES,12.0,12.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ANXA2_S100A10_REGULATED_ACTIN_CYTOSKELETON,5.0,5.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_AREG_EGFR_PI3K_SIGNALING_PATHWAY,11.0,11.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_AREG_EGFR_RAS_ERK_SIGNALING_PATHWAY,15.0,15.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,35.0,31.0,0.8857142857142857,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,25.0,25.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE,19.0,19.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_ATR_P21_CELL_CYCLE_G2_M,9.0,9.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_GLYCOLYSIS,25.0,25.0,1.0,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION,33.0,32.0,0.9696969696969697,True,gene_coverage,,,,
GSE96058,KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR,26.0,26.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,20.0,20.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,17.0,17.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,7.0,7.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,6.0,6.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,66.0,7.0,0.10606060606060606,True,gene_coverage,,,,
GSE96058,REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,23.0,23.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,5.0,5.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,828.0,759.0,0.9166666666666666,True,gene_coverage,,,,
GSE96058,REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,43.0,43.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,13.0,13.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ANDROGEN_BIOSYNTHESIS,11.0,11.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,86.0,32.0,0.37209302325581395,True,gene_coverage,,,,
GSE96058,REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,88.0,87.0,0.9886363636363636,True,gene_coverage,,,,
GSE96058,REACTOME_APOPTOSIS,179.0,169.0,0.9441340782122905,True,gene_coverage,,,,
GSE96058,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,13.0,7.0,0.5384615384615384,True,gene_coverage,,,,
GSE96058,REACTOME_ARACHIDONIC_ACID_METABOLISM,59.0,58.0,0.9830508474576272,True,gene_coverage,,,,
GSE96058,REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,11.0,11.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,61.0,61.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,11.0,11.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,44.0,44.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,11.0,11.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_CARNITINE_METABOLISM,14.0,14.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,22.0,22.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,75.0,72.0,0.96,True,gene_coverage,,,,
GSE96058,REACTOME_CELL_CYCLE,694.0,615.0,0.8861671469740634,True,gene_coverage,,,,
GSE96058,REACTOME_CELL_CYCLE_CHECKPOINTS,291.0,247.0,0.8487972508591065,True,gene_coverage,,,,
GSE96058,REACTOME_CELL_CYCLE_MITOTIC,561.0,490.0,0.8734402852049911,True,gene_coverage,,,,
GSE96058,REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,18.0,18.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,50.0,50.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_COBALAMIN_CBL_METABOLISM,7.0,6.0,0.8571428571428571,True,gene_coverage,,,,
GSE96058,REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,22.0,20.0,0.9090909090909091,True,gene_coverage,,,,
GSE96058,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,67.0,64.0,0.9552238805970149,True,gene_coverage,,,,
GSE96058,REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,44.0,44.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_COLLAGEN_DEGRADATION,64.0,64.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_COLLAGEN_FORMATION,90.0,87.0,0.9666666666666667,True,gene_coverage,,,,
GSE96058,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,83.0,83.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2,11.0,10.0,0.9090909090909091,True,gene_coverage,,,,
GSE96058,REACTOME_CREATINE_METABOLISM,11.0,11.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,18.0,18.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,789.0,760.0,0.9632446134347274,True,gene_coverage,,,,
GSE96058,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,82.0,79.0,0.9634146341463414,True,gene_coverage,,,,
GSE96058,REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS,25.0,25.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM,8.0,8.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_DEFECTS_IN_COBALAMIN_B12_METABOLISM,14.0,12.0,0.8571428571428571,True,gene_coverage,,,,
GSE96058,REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,22.0,20.0,0.9090909090909091,True,gene_coverage,,,,
GSE96058,REACTOME_DEFECTS_OF_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,8.0,7.0,0.875,True,gene_coverage,,,,
GSE96058,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,140.0,140.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION,7.0,7.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,41.0,41.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM,10.0,10.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,34.0,33.0,0.9705882352941176,True,gene_coverage,,,,
GSE96058,REACTOME_DISEASES_OF_DNA_REPAIR,51.0,49.0,0.9607843137254902,True,gene_coverage,,,,
GSE96058,REACTOME_DISEASES_OF_IMMUNE_SYSTEM,32.0,32.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_DISEASES_OF_METABOLISM,250.0,242.0,0.968,True,gene_coverage,,,,
GSE96058,REACTOME_DISEASES_OF_MISMATCH_REPAIR_MMR,5.0,5.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE,38.0,38.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_DNA_REPAIR,332.0,272.0,0.8192771084337349,True,gene_coverage,,,,
GSE96058,REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING,13.0,13.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING,29.0,28.0,0.9655172413793104,True,gene_coverage,,,,
GSE96058,REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING,9.0,9.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,81.0,80.0,0.9876543209876543,True,gene_coverage,,,,
GSE96058,REACTOME_ENHANCED_BINDING_OF_GP1BA_VARIANT_TO_VWF_MULTIMER_COLLAGEN,7.0,6.0,0.8571428571428571,True,gene_coverage,,,,
GSE96058,REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING,13.0,13.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ERBB2_REGULATES_CELL_MOTILITY,15.0,15.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ERK_MAPK_TARGETS,22.0,22.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K,12.0,12.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ESTROGEN_BIOSYNTHESIS,6.0,6.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,149.0,90.0,0.6040268456375839,True,gene_coverage,,,,
GSE96058,REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING,24.0,24.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_ESTROGEN_STIMULATED_SIGNALING_THROUGH_PRKCZ,6.0,6.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_EVASION_BY_RSV_OF_HOST_INTERFERON_RESPONSES,35.0,32.0,0.9142857142857143,True,gene_coverage,,,,
GSE96058,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,300.0,297.0,0.99,True,gene_coverage,,,,
GSE96058,REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,75.0,75.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_FATTY_ACIDS,15.0,15.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_FATTY_ACIDS_BOUND_TO_GPR40_FFAR1_REGULATE_INSULIN_SECRETION,8.0,8.0,1.0,True,gene_coverage,,,,
GSE96058,REACTOME_FATTY_ACID_METABOLISM,176.0,168.0,0.9545454545454546,True,gene_coverage,,,,
GSE96058,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,37.0,32.0,0.8648648648648649,True,gene_coverage,,,,
GSE96058,REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,87.0,33.0,0.3793103448275862,True,gene_coverage,,,,
GSE96058,REACTOME_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE,5.0,5.0,1.0,True,gene_coverage,,,,
