feature,mean_importance,sd_importance,mean_rank,sd_rank,top3_rate,mean_pairwise_spearman,spearman_ci_low,spearman_ci_high,n_subsamples,n_pairwise_comparisons
Pathway_Hormone,0.06554195891605419,0.04345826371268952,1.795,1.6393134187361744,0.92,0.3953552292417457,-0.3557954545454545,0.9166984970282114,100,4950
age_at_dx,0.03813332549044576,0.04705634302649703,3.195,2.6788500095633148,0.75,0.3953552292417457,-0.3557954545454545,0.9166984970282114,100,4950
Pathway_DNA_Repair,0.014055146777696427,0.03501655075415167,4.285,2.8834734595482563,0.62,0.3953552292417457,-0.3557954545454545,0.9166984970282114,100,4950
stage_ordinal,0.006246858429075146,0.015215595017567543,4.88,1.6759137414219347,0.26,0.3953552292417457,-0.3557954545454545,0.9166984970282114,100,4950
Pathway_Proliferation,-0.0005962848263236747,0.016631380881367088,5.76,1.546387122072973,0.06,0.3953552292417457,-0.3557954545454545,0.9166984970282114,100,4950
Pathway_Apoptosis_Stress,-0.0009755359937886654,0.006616186647284097,5.925,1.126752282922341,0.01,0.3953552292417457,-0.3557954545454545,0.9166984970282114,100,4950
Pathway_Metabolism,-0.00334653814413015,0.011030524877321389,6.27,1.5166083904887946,0.03,0.3953552292417457,-0.3557954545454545,0.9166984970282114,100,4950
Pathway_Immune,-0.0031083454006919074,0.010049376662783289,6.36,1.4686625538120377,0.02,0.3953552292417457,-0.3557954545454545,0.9166984970282114,100,4950
Pathway_Stromal_EMT,-0.00529432969720685,0.014142642175282978,6.53,1.6979191067095314,0.05,0.3953552292417457,-0.3557954545454545,0.9166984970282114,100,4950
